Field,Value
Title,COVID-19 Homeless Impact
URL,covid-19-homeless-impact
Description,"COVID-19 homeless impact

*Note: Beginning March 1, 2020, all existing reports publicly accessible on web pages belonging to the California Department of Social Services (CDSS) must comply with the **[CDSS Data De-identification Guidelines](https://www.cdss.ca.gov/portals/9/Data%20De-Identification%20Guidelines%20DSS%20Reference%20Guide_FINAL.pdf)** in order to more fully protect the identities of the vulnerable clients we serve. Communities with data values of less than 11 have been removed to comply with the **[CDSS Data De-identification Guidelines](https://www.cdss.ca.gov/portals/9/Data%20De-Identification%20Guidelines%20DSS%20Reference%20Guide_FINAL.pdf)**.*"
Tags,covid-19
License,cc-zero
Topic,covid-19
Organization,California Department of Social Services
Public Access Level,Public
Rights,No restrictions on public use
Program Contact Name,DSS Public Relations
Program Contact Email,piar@dss.ca.gov 
Author,California Department of Social Services
Homepage URL,
Frequency,Daily
Temporal Coverage,4/14/2020 - present
Granularity,County
Geographic Coverage Location,California
Spatial,
Data Standard,
Language,English
Source Link,
Additional Information,
Related Resources,
Secondary Sources,
Citation,
