Field,Value
Title,COVID-19 Medical Surge Facilities
URL,covid-19-medical-surge-facilities
Description,COVID-19 Medical Surge Facilities
Tags,covid-19
License,cc-zero
Topic,covid-19
Organization,California Office of Emergency Services
Public Access Level,Public
Rights,No restrictions on public use
Program Contact Name,CalOES Media
Program Contact Email,media@caloes.ca.gov
Author,California Office of Emergency Services
Homepage URL,
Frequency,Daily
Temporal Coverage,4/23/2020 - present
Granularity,County
Geographic Coverage Location,California
Spatial,
Data Standard,
Language,English
Source Link,
Additional Information,
Related Resources,
Secondary Sources,
Citation,
